Mass,ethyne,ethene,ethane,1butanal
12.0,2.0,2.0,2.0,2.0000836105193596
13.0,2.0,2.0,2.0,2.000533530985451
14.0,2.0,2.0,2.0,2.0108561448752535
15.0,2.0,2.0,2.0,2.099339755716671
16.0,2.0,2.0,2.0,2.0001432609173317
17.0,2.0,2.0,2.0,2.000386344198534
18.0,0.0,0.0,0.0,2.0118987237880184
19.0,0.0,0.0,0.0,2.000251033478533
20.0,0.0,0.0,0.0,2.000069210386861
21.0,2.0,2.0,2.0,0.0
22.0,2.0,2.0,2.0,0.0
24.0,2.0,2.0,2.0,nan
25.0,2.0,2.0,2.0,nan
26.0,2.0,2.0,2.0,2.0704512989276513
27.0,2.0,2.0,2.0,4.2607985216021325
28.0,2.0,2.0,2.0,2.158462022143822
29.0,2.0,2.0,2.0,3.8315284350087904
30.0,2.0,2.0,2.0,2.0019374844037277
31.0,0.0,0.0,0.0,2.013156109847597
