Source:,Measured, Measured, Measured, NIST_TuningCorrected
Molecules,ethyne, ethene, ethane, 1butanal
Electron Numbers,14, 16, 18, 40
ionizationEfficiencies,1.0, 1.0857142857142859, 1.1714285714285713, 2.1142857142857143
ionizationEfficienciesSources,MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo
Molecular Mass,26.04, 28.05, 30.07, 72.11
1.200000000000000000e+01,2.154589371980676571e+00,1.467213114754098324e+00,5.087378640776699656e-01,1.751689808707107276e-01
1.300000000000000000e+01,6.618357487922706284e+00,2.491803278688524248e+00,1.067961165048543659e+00,5.670066283769092941e-01
1.400000000000000000e+01,3.362318840579710533e-01,5.254098360655737210e+00,3.815533980582524798e+00,3.212904970575773955e+00
1.500000000000000000e+01,2.231884057971014745e-02,5.229508196721310842e-01,5.621359223300971486e+00,1.137142986174500336e+01
1.600000000000000000e+01,4.830917874396135903e-02,1.122950819672131062e-01,1.233009708737864141e-01,4.366572618125798000e-01
1.700000000000000000e+01,3.521739130434782816e-01,1.762295081967213128e-01,4.349514563106796766e-02,6.721390498487332943e-01
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.416027874099339279e+00
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.587903117548498555e-01
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.290262427619841612e-01
2.100000000000000000e+01,-8.454106280193238534e-05,-3.393442622950819713e-04,2.601941747572815693e-03,0.000000000000000000e+00
2.200000000000000000e+01,2.227053140096618439e-03,5.475409836065573202e-04,2.339805825242718702e-03,0.000000000000000000e+00
2.400000000000000000e+01,6.280193236714977090e+00,3.245901639344262346e+00,7.417475728155340509e-01,0.000000000000000000e+00
2.500000000000000000e+01,2.207729468599033851e+01,1.000000000000000000e+01,3.718446601941748142e+00,0.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+02,6.081967213114754145e+01,2.262135922330097415e+01,1.162341998826503087e+01
2.700000000000000000e+01,2.077294685990338063e+00,6.196721311475409522e+01,3.233009708737864685e+01,1.000000000000000000e+02
2.800000000000000000e+01,1.009661835748792313e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.281757097331733775e+01
2.900000000000000000e+01,1.400966183574879446e-02,2.032786885245901676e+00,2.126213592233009919e+01,7.237792305121642755e+01
3.000000000000000000e+01,3.338164251207729766e-03,1.819672131147541047e-02,2.097087378640776834e+01,1.364986264370678049e+00
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.549744148003121769e+00
