Temp,m2,m18,m26,m27,m28,m29,m31,m39,m41,m44,m45,m56,m57,m70
4.467875999999999976e+02,1.349566000000000043e+00,2.904729999999999812e-01,1.720569999999999877e-01,2.134409999999999918e-01,4.803135000000000154e+00,3.312300000000000244e-01,6.054799999999999766e-02,8.202800000000000369e-02,1.110499999999999959e-01,1.540696999999999983e+00,2.905800000000000050e-02,2.203000000000000097e-02,8.859999999999999820e-03,0.000000000000000000e+00
4.475912999999999897e+02,1.257236999999999938e+00,3.066200000000000037e-01,1.818259999999999876e-01,1.831170000000000020e-01,4.798168999999999684e+00,3.589350000000000041e-01,7.406600000000000683e-02,6.023400000000000282e-02,9.494600000000000262e-02,1.555109000000000075e+00,4.307199999999999918e-02,0.000000000000000000e+00,4.505999999999999589e-03,3.020799999999999874e-02
4.484522999999999797e+02,1.201019999999999976e+00,2.868760000000000199e-01,1.799659999999999871e-01,2.017319999999999947e-01,4.863552999999999571e+00,3.087409999999999877e-01,6.536400000000000543e-02,8.729399999999999660e-02,9.212099999999999456e-02,1.527206999999999981e+00,3.490200000000000247e-02,2.320699999999999846e-02,7.694000000000000318e-03,0.000000000000000000e+00
4.492989000000000033e+02,1.378117999999999954e+00,3.280770000000000075e-01,1.770259999999999889e-01,1.778389999999999971e-01,4.852115000000000400e+00,3.403869999999999951e-01,7.223200000000000454e-02,5.984899999999999942e-02,9.118099999999999816e-02,1.584810000000000052e+00,2.914200000000000124e-02,0.000000000000000000e+00,1.370299999999999990e-02,3.665000000000000202e-02
4.501829000000000178e+02,1.279770999999999992e+00,2.882000000000000117e-01,1.824330000000000118e-01,2.111979999999999968e-01,4.846103000000000272e+00,3.054120000000000168e-01,6.874800000000000355e-02,9.475000000000000089e-02,9.055100000000000648e-02,1.536701000000000095e+00,3.887000000000000177e-02,2.687799999999999911e-02,5.200999999999999894e-03,0.000000000000000000e+00
4.510552999999999884e+02,1.338424000000000058e+00,3.320679999999999743e-01,1.829909999999999870e-01,1.777590000000000003e-01,4.908604999999999663e+00,3.454909999999999926e-01,7.091600000000000681e-02,6.056199999999999778e-02,1.020169999999999966e-01,1.584635000000000016e+00,2.611399999999999832e-02,0.000000000000000000e+00,2.030799999999999966e-02,3.329900000000000221e-02
4.520611000000000104e+02,1.264186000000000032e+00,2.709429999999999894e-01,1.769729999999999914e-01,2.143450000000000077e-01,4.771491000000000149e+00,3.172019999999999840e-01,6.821000000000000674e-02,7.606699999999999573e-02,9.197800000000000420e-02,1.557698000000000027e+00,4.307300000000000018e-02,2.300400000000000014e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.528659999999999854e+02,1.268918999999999908e+00,3.180649999999999866e-01,1.792529999999999957e-01,1.855120000000000102e-01,4.932195000000000107e+00,3.405699999999999839e-01,5.798400000000000082e-02,6.594800000000000662e-02,1.023270000000000013e-01,1.571563000000000043e+00,2.107399999999999898e-02,5.512999999999999672e-03,1.647099999999999953e-02,2.507500000000000007e-02
4.538276000000000181e+02,1.270421999999999940e+00,2.880280000000000062e-01,1.864030000000000131e-01,2.093939999999999968e-01,4.822324000000000055e+00,3.238630000000000120e-01,6.694899999999999463e-02,7.468299999999999939e-02,8.506500000000000172e-02,1.535438000000000081e+00,5.278499999999999859e-02,1.934100000000000055e-02,0.000000000000000000e+00,9.568000000000000116e-03
4.547148000000000252e+02,1.223319000000000045e+00,3.168440000000000145e-01,1.667740000000000056e-01,1.747100000000000042e-01,4.864766000000000368e+00,3.269969999999999821e-01,5.481199999999999961e-02,7.447299999999999753e-02,1.110499999999999959e-01,1.572349999999999914e+00,2.008599999999999969e-02,1.043299999999999957e-02,2.402400000000000022e-02,2.002100000000000060e-02
