#ComentsLine,,,,,
Molecules,Acetaldehyde,CO,Ethylene (Ethene),Ethanol,Crotyl Alcohol
Electron Numbers,24,14,16,26,40
moleculeIonizationType,unknown,unknown,unknown,unknown,unknown
relativeIonizationEfficiencies,1.4285714285714284,1.0,1.0857142857142859,1.5142857142857142,2.1142857142857143
SourceOfFragmentationPatterns,Measured,NIST,NIST,NIST,NIST
sourceOfIonizationData,MadixAndKo,MadixAndKo,MadixAndKo,MadixAndKo,MadixAndKo
Molecular Mass,44.0526,28.01,28.0532,46.0684,72.1057
26.0,10.701070107010702,0.0,54.61005634242505,10.617674226490585,14.63576885506878
27.0,7.740774077407742,0.0,63.32545620828447,23.784859078083752,54.22191680627966
28.0,61.03610361036104,100.0,100.0,0.0,18.46172080544184
29.0,100.0,0.0,0.0,30.73673009667451,93.41620158582646
41.0,5.4605460546054605,0.0,0.0,0.0,34.386683769881714
43.0,0.0,0.0,0.0,9.89855002990601,44.44178520315631
44.0,99.9899989999,0.0,0.0,0.0,11.544121843243628
57.0,0.0,0.0,0.0,0.0,100.00000000000001
