Exp. #2,,,,,,,,,,,,,,
Temp,m2,m18,m26,m27,m28,m29,m31,m39,m41,m44,m45,m56,m57,m70
568.4926,1.631122,0.455345,0.191185,0.239051,5.342028,0.690438,0.058918,0.111845,0.168226,1.779768,0.030377,0.013163,1,2
569.3749,1.670231,0.450763,0.228047,0.250285,5.306525,0.694453,0.099656,0.107018,0.143533,1.806495,0.05513,0.017779,1,2
570.2982,1.779294,0.424106,0.196825,0.252483,5.354593,0.692826,0.052368,0.120098,0.174561,1.790005,0.034117,0.022904,2,4
571.2217,1.744611,0.46683,0.222404,0.247438,5.37812,0.705251,0.085222,0.104562,0.148317,1.806632,0.058779,0.010918,4,8
572.0849,1.689994,0.426084,0.203745,0.264445,5.383382,0.672642,0.063984,0.124629,0.170029,1.782663,0.03621,0.024719,6,12
572.9317,1.729391,0.476189,0.229882,0.229158,5.380638,0.691729,0.079603,0.109513,0.153199,1.815243,0.050465,0.006094,8,16
573.8884,1.735103,0.461004,0.213173,0.272062,5.327307,0.676229,0.062711,0.129904,0.166991,1.783259,0.041897,0.027622,10,20
574.712,1.742599,0.488658,0.22134,0.222956,5.412025,0.705227,0.076294,0.096869,0.168192,1.81245,0.035238,0.003159,12,24
575.4513,1.725617,0.454913,0.219258,0.269551,5.401343,0.676907,0.07657,0.123498,0.158571,1.787212,0.053069,0.026446,14,28
576.2997,1.744683,0.496278,0.20329,0.248764,5.396902,0.69645,0.065085,0.101556,0.168452,1.808469,0.02813,0.01136,16,32
577.0785,1.795766,0.452441,0.223187,0.271876,5.454286,0.686259,0.087565,0.120423,0.151377,1.776843,0.056439,0.023982,18,36
577.9273,1.828587,0.490802,0.205518,0.248753,5.496322,0.689995,0.063933,0.100162,0.189105,1.793838,0.029488,0.017302,20,40
