Source:,NIST,NIST,NIST,NIST,NIST,NIST,NIST,NIST
Molecules,2buten1ol(crotyl alcohol),2butenalE(crotonaldehyde),2buteneE,13butadiene,acetaldehyde,acetone,diethylether,ethanol
Electron Numbers,40,38,32,30,24,32,42,26
Molecular Mass,72.110000,70.090000,56.106300,54.090000,44.050000,58.080000,74.120000,46.070000
1,0,0,160,0,0,0,0,0
2,0,0,20,10,0,0,0,0
12,27,0,20,40,90,0,0,20
13,54,0,20,30,299,89,10,139
14,226,0,80,50,1089,455,70,145
15,604,0,380,30,3649,1201,319,664
16,54,0,10,10,569,85,0,0
17,61,0,0,0,30,0,0,70
18,66,0,0,0,109,0,40,55
19,70,0,0,10,10,0,99,279
21,0,0,0,0,10,0,0,0
24,30,0,10,20,70,0,0,61
25,202,500,90,250,239,129,10,246
26,1087,1800,1131,1541,549,496,309,985
27,4090,4900,3513,4944,359,707,1939,2241
28,1414,0,3243,3413,329,121,509,345
29,7263,3900,1982,80,9999,362,4269,2985
30,372,200,70,0,119,0,129,812
31,2899,200,0,0,30,45,9999,9999
32,126,0,0,0,0,0,109,0
33,0,100,0,0,0,0,20,31
34,26,0,0,0,0,0,0,0
36,108,400,10,90,0,70,0,0
37,681,1800,230,440,0,251,0,0
38,1208,2900,420,581,0,281,0,0
39,5234,9700,3593,9999,0,463,20,0
40,725,2700,641,350,109,128,0,0
41,3119,9999,9999,20,509,278,609,137
42,813,3000,340,0,1279,961,119,474
43,4112,400,10,0,4749,9999,829,1144
44,1078,0,0,0,8259,246,199,71
45,308,0,0,0,279,0,4459,5149
46,0,0,0,0,0,0,109,2163
47,0,0,0,0,0,0,30,73
48,46,100,20,150,0,0,0,0
49,228,400,150,811,0,0,0,0
50,670,500,621,2682,0,0,0,0
51,598,400,601,2532,0,0,0,0
52,213,200,200,1141,0,0,0,0
53,1350,300,811,7086,0,0,0,0
54,913,100,360,9519,0,0,0,0
55,870,500,2202,430,0,0,0,0
56,46,0,4784,10,0,0,0,0
57,9999,0,210,0,0,47,30,0
58,324,0,10,0,0,2484,20,0
59,34,0,0,0,0,93,6709,0
60,0,0,0,0,0,0,219,0
61,0,0,0,0,0,0,10,0
66,0,100,0,0,0,0,0,0
67,0,100,0,0,0,0,0,0
68,32,500,0,0,0,0,0,0
69,181,6500,0,0,0,0,0,0
70,138,8200,0,0,0,0,0,0
71,696,800,0,0,0,0,0,0
72,2559,100,0,0,0,0,10,0
73,110,0,0,0,0,0,469,0
74,0,0,0,0,0,0,4399,0
75,0,0,0,0,0,0,209,0
