Mass	Ethanol
1.0	0.0
2.0	0.0
12.0	33.26620082
13.0	227.1786667
14.0	232.8800307
15.0	1048.044906
16.0	0.0
17.0	106.7407994
18.0	82.44744969
19.0	411.2019015
20.0	0.0
22.0	0.0
24.0	82.78616876
25.0	328.5763583
26.0	1295.101269
27.0	2901.181607
28.0	439.8690093
29.0	3749.14292
30.0	1004.953404
31.0	12197.59847
32.0	0.0
33.0	36.77390776
34.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	147.4948946
42.0	505.1395372
43.0	1207.385387
44.0	74.24752658
45.0	5337.93864
46.0	2224.14821
47.0	74.49411797
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
