M/Z	Ethylene (Ethene)
1.0	0.0
2.0	19.86799808
12.0	83.16550206
13.0	147.0941008
14.0	337.2745273
15.0	47.35142646
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
22.0	0.0
24.0	312.1445707
25.0	1043.163154
26.0	6961.991086
27.0	8073.078315
28.0	12748.55137
29.0	288.8786839
30.0	12.37627345
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
