Temp,m2,m18,m26,m27,m28,m29,m31,m39,m41,m44,m45,m56,m57,m70
1.768480999999999881e+02,1.264518349936489816e+00,0.000000000000000000e+00,1.831303723044977461e-02,0.000000000000000000e+00,3.785012966468032758e+00,-1.414263857410738290e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.888665072588959326e-01,3.977564096406486366e-03,1.104064086299082204e-02,-8.673617379884035472e-19,-2.169253981674807916e-02
1.768944999999999936e+02,1.264553503674090473e+00,0.000000000000000000e+00,1.838642950372280926e-02,1.387778780781445676e-17,3.784570075274528378e+00,-1.402538012311065063e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.882213308429079968e-01,4.068497847642658233e-03,1.101471380112950538e-02,0.000000000000000000e+00,-2.171862926504453117e-02
1.768788000000000125e+02,1.264541608982704179e+00,0.000000000000000000e+00,1.836159634229216076e-02,0.000000000000000000e+00,3.784719932855089120e+00,-1.406505593519354058e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.884396340698704764e-01,4.037729315435625854e-03,1.102348653542307988e-02,0.000000000000000000e+00,-2.170980158534077317e-02
1.767940999999999860e+02,1.264477438259109743e+00,0.000000000000000000e+00,1.822762380896823797e-02,1.387778780781445676e-17,3.785528400184611897e+00,-1.427910315069876590e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.896173591223284216e-01,3.871736023847233837e-03,1.107081459877769236e-02,0.000000000000000000e+00,-2.166217709674789910e-02
1.767974000000000103e+02,1.264479938417172100e+00,0.000000000000000000e+00,1.823284351805856685e-02,0.000000000000000000e+00,3.785496901457487073e+00,-1.427076364879580339e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.895714737306741338e-01,3.878203294948121688e-03,1.106897064825736188e-02,8.673617379884035472e-19,-2.166403259630348549e-02
1.768505000000000109e+02,1.264520168233262298e+00,0.000000000000000000e+00,1.831683338251556548e-02,0.000000000000000000e+00,3.784990058302852400e+00,-1.413657348181437401e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.888331360649652790e-01,3.982267566298085953e-03,1.103929980806694910e-02,0.000000000000000000e+00,-2.169388927097031308e-02
1.769009000000000071e+02,1.264558352465483759e+00,0.000000000000000000e+00,1.839655257589827009e-02,0.000000000000000000e+00,3.784508986834044908e+00,-1.400920654366268336e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.881323409924277712e-01,4.081040434020032776e-03,1.101113765466586736e-02,-8.673617379884035472e-19,-2.172222780963715266e-02
1.769664999999999964e+02,1.264608052577263830e+00,0.000000000000000000e+00,1.850031406569846437e-02,0.000000000000000000e+00,3.783882830319091450e+00,-1.384342735432247951e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.872201950249997138e-01,4.209601944388349087e-03,1.097448215341367828e-02,0.000000000000000000e+00,-2.175911289171142404e-02
1.769054999999999893e+02,1.264561837534297517e+00,0.000000000000000000e+00,1.840382853402462715e-02,0.000000000000000000e+00,3.784465079517447261e+00,-1.399758178343498416e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.880683795373931488e-01,4.090055417978796098e-03,1.100856729939514445e-02,8.673617379884035472e-19,-2.172481426356307962e-02
1.768098999999999990e+02,1.264489408712861751e+00,0.000000000000000000e+00,1.825261514340160984e-02,0.000000000000000000e+00,3.785377588097167845e+00,-1.423917462643670695e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.893976654289528216e-01,3.902700533966421692e-03,1.106198598719559945e-02,0.000000000000000000e+00,-2.167106100371091887e-02
1.768532999999999902e+02,1.264522289579496750e+00,0.000000000000000000e+00,1.832126222659259673e-02,0.000000000000000000e+00,3.784963332110140133e+00,-1.412949754080613796e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.887942030053794795e-01,3.987754947838116626e-03,1.103773524398911354e-02,0.000000000000000000e+00,-2.169546363422956980e-02
1.769335000000000093e+02,1.264583050996642699e+00,0.000000000000000000e+00,1.844811697479313561e-02,0.000000000000000000e+00,3.784197817590334356e+00,-1.392682237335015616e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.876790489415409269e-01,4.144929233379921613e-03,1.099292165861676107e-02,0.000000000000000000e+00,-2.174055789615577869e-02
1.768810000000000002e+02,1.264543275754745455e+00,0.000000000000000000e+00,1.836507614835231061e-02,-1.387778780781445676e-17,3.784698933703674939e+00,-1.405949626725807589e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.884090438087689501e-01,4.042040829502838162e-03,1.102225723507621602e-02,-8.673617379884035472e-19,-2.171103858504449396e-02
1.768104999999999905e+02,1.264489863287054927e+00,0.000000000000000000e+00,1.825356418141795001e-02,0.000000000000000000e+00,3.785371861055873755e+00,-1.423765835336353591e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.893893226304724342e-01,3.903876401439302507e-03,1.106165072346464162e-02,-8.673617379884035472e-19,-2.167139836726646521e-02
1.768206999999999880e+02,1.264497591048337810e+00,0.000000000000000000e+00,1.826969782769777284e-02,0.000000000000000000e+00,3.785274501353851573e+00,-1.421188171111867349e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.892474950562663238e-01,3.923866148478279831e-03,1.105595124003823371e-02,8.673617379884035472e-19,-2.167713354771093684e-02
1.767428999999999917e+02,1.264438647927964343e+00,0.000000000000000000e+00,1.814663923156338565e-02,0.000000000000000000e+00,3.786017107708480989e+00,-1.440849178628120508e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.903292779261788858e-01,3.771395332828067493e-03,1.109942377048671325e-02,0.000000000000000000e+00,-2.163338874000698270e-02
1.767738999999999976e+02,1.264462134261275184e+00,0.000000000000000000e+00,1.819567286241403903e-02,0.000000000000000000e+00,3.785721210574886531e+00,-1.433015101083094656e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.898982333379099607e-01,3.832148485593583204e-03,1.108210181105351300e-02,-8.673617379884035472e-19,-2.165081919037746896e-02
1.768874000000000137e+02,1.264548124546138741e+00,0.000000000000000000e+00,1.837519922052809063e-02,0.000000000000000000e+00,3.784637845263188805e+00,-1.404332268781089688e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.883200539582845057e-01,4.054583415880264746e-03,1.101868108861257800e-02,8.673617379884035472e-19,-2.171463712963711892e-02
1.768942000000000121e+02,1.264553276386993996e+00,0.000000000000000000e+00,1.838595498471491674e-02,0.000000000000000000e+00,3.784572938795176089e+00,-1.402613825964699745e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.882255022421523538e-01,4.067909913906240377e-03,1.101488143299497735e-02,0.000000000000000000e+00,-2.171846058326676321e-02
1.768326000000000136e+02,1.264506606769834507e+00,0.000000000000000000e+00,1.828852041502471160e-02,0.000000000000000000e+00,3.785160915034828211e+00,-1.418180896183267592e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.890820295530297290e-01,3.947187520023806573e-03,1.104930184270740134e-02,0.000000000000000000e+00,-2.168382459156286551e-02
1.768189000000000135e+02,1.264496227325758504e+00,0.000000000000000000e+00,1.826685071364851642e-02,0.000000000000000000e+00,3.785291682477737840e+00,-1.421643053033813664e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.892725234517151467e-01,3.920338546059696366e-03,1.105695703123110718e-02,-8.673617379884035472e-19,-2.167612145704428742e-02
1.768508999999999958e+02,1.264520471282724490e+00,0.000000000000000000e+00,1.831746607452669484e-02,0.000000000000000000e+00,3.784986240275320490e+00,-1.413556263309919681e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.888275741993096890e-01,3.983051477946621122e-03,1.103907629891297260e-02,-8.673617379884035472e-19,-2.169411418000733588e-02
1.768443000000000040e+02,1.264515470966600219e+00,0.000000000000000000e+00,1.830702665634535709e-02,0.000000000000000000e+00,3.785049237729570581e+00,-1.415224163690469161e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.889193449826175986e-01,3.970116935744935627e-03,1.104276419995359193e-02,8.673617379884035472e-19,-2.169040318089622554e-02
1.769281000000000006e+02,1.264578959828904781e+00,0.000000000000000000e+00,1.843957563264474186e-02,-1.387778780781445676e-17,3.784249360961990938e+00,-1.394046883100939493e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.877541341278853970e-01,4.134346426123952645e-03,1.099593903219545088e-02,0.000000000000000000e+00,-2.173752162415575062e-02
1.769267999999999859e+02,1.264577974918152936e+00,0.000000000000000000e+00,1.843751938360883857e-02,-1.387778780781445676e-17,3.784261769551465093e+00,-1.394375408933487270e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.877722101912632890e-01,4.131798713266035539e-03,1.099666543694588494e-02,8.673617379884035472e-19,-2.173679066978537883e-02
1.768663999999999987e+02,1.264532214449379799e+00,0.000000000000000000e+00,1.834198288995189663e-02,0.000000000000000000e+00,3.784838291708524149e+00,-1.409639224537388991e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886120519051741162e-01,4.013428054329398059e-03,1.103041531919636553e-02,0.000000000000000000e+00,-2.170282940519257381e-02
1.769139999999999873e+02,1.264568277335366586e+00,0.000000000000000000e+00,1.841727323925790305e-02,0.000000000000000000e+00,3.784383946432429813e+00,-1.397610124823080724e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.879501898922238512e-01,4.106713540511262167e-03,1.100381772987313322e-02,-8.673617379884035472e-19,-2.172959358060012891e-02
1.768830000000000098e+02,1.264544791002055746e+00,0.000000000000000000e+00,1.836823960840734682e-02,0.000000000000000000e+00,3.784679843566022495e+00,-1.405444202368102413e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.883812344804917771e-01,4.045960387745801967e-03,1.102113968930633348e-02,0.000000000000000000e+00,-2.171216313022968081e-02
1.769233999999999867e+02,1.264575398997725308e+00,0.000000000000000000e+00,1.843214150151553654e-02,1.387778780781445676e-17,3.784294222785469675e+00,-1.395234630341664617e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.878194860493291429e-01,4.125135464253019968e-03,1.099856526475467833e-02,0.000000000000000000e+00,-2.173487894297055495e-02
