Source:,Measured,NIST,NIST,NIST,NIST,NIST
Molecules,Acetaldehyde,CO,CO2,Ethylene (Ethene),H2,H2O
Electron Numbers,24,14,22,16,2,10
Molecular Mass,44.0526,28.01,44.01,28.0532,2.01588,18
1,0,0,0,0,424.7389898,0
2,0,0,0,19.86799808,19866.01128,0
12,0,781.7557194,1448.743046,83.16550206,0,0
13,0,0,0,147.0941008,0,0
14,0,0,0,337.2745273,0,0
15,0,0,0,47.35142646,0,0
16,0,263.7233818,1490.812764,0,0,139.6182609
17,0,0,0,0,0,3235.771091
18,0,0,0,0,0,14988.94635
19,0,0,0,0,0,73.69209704
20,0,0,0,0,0,43.47782297
21,0,0,0,0,0,0
22,0,0,266.3729108,0,0,0
24,0,0,0,312.1445707,0,0
25,0,0,0,1043.163154,0,0
26,1070,0,0,6961.991086,0,0
27,774,0,0,8073.078315,0,0
28,6103,12748.55137,1250.757966,12748.55137,0,0
29,9999,150.7193134,12.55994278,288.8786839,0,0
30,0,0,0,12.37627345,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,546,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,9998,0,10456.35237,0,0,0
45,0,0,124.4033088,0,0,0
46,0,0,41.1308037,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
