Temp,m2.0
176.8481,489759.56278176425
176.8945,489759.56278176425
176.8788,489759.56278176425
176.7941,489759.56278176425
176.7974,489759.56278176425
176.8505,489759.56278176425
176.9009,489759.56278176425
176.9665,489759.56278176425
176.9055,489759.56278176425
176.8099,489759.56278176425
176.8533,489759.56278176425
176.9335,489759.56278176425
176.881,489759.56278176425
176.8105,489759.56278176425
176.8207,489759.56278176425
176.7429,489759.56278176425
176.7739,489759.56278176425
176.8874,489759.56278176425
176.8942,489759.56278176425
176.8326,489759.56278176425
176.8189,489759.56278176425
176.8509,489759.56278176425
176.8443,489759.56278176425
176.9281,489759.56278176425
176.9268,489759.56278176425
176.8664,489759.56278176425
176.914,489759.56278176425
176.883,489759.56278176425
176.9234,489759.56278176425
176.8343,489759.56278176425
176.8869,489759.56278176425
176.8666,489759.56278176425
176.8004,489759.56278176425
176.889,489759.56278176425
177.0114,489759.56278176425
176.8458,489759.56278176425
176.9231,489759.56278176425
176.9848,489759.56278176425
177.0193,489759.56278176425
177.032,489759.56278176425
176.9611,489759.56278176425
176.8494,489759.56278176425
176.9185,489759.56278176425
176.8734,489759.56278176425
176.9646,489759.56278176425
176.9394,489759.56278176425
176.8496,489759.56278176425
176.9133,489759.56278176425
176.7969,489759.56278176425
176.792,489759.56278176425
176.7845,489759.56278176425
176.8007,489759.56278176425
176.9141,489759.56278176425
176.8142,489759.56278176425
176.7997,489759.56278176425
176.7839,489759.56278176425
176.8388,489759.56278176425
176.9101,489759.56278176425
177.0272,489759.56278176425
177.0201,489759.56278176425
176.969,489759.56278176425
177.0026,489759.56278176425
176.9059,489759.56278176425
176.8848,489759.56278176425
176.8855,489759.56278176425
176.9602,489759.56278176425
177.023,489759.56278176425
176.9497,489759.56278176425
176.8147,489759.56278176425
176.8542,489759.56278176425
176.9009,489759.56278176425
176.9337,489759.56278176425
176.8691,489759.56278176425
176.9353,489759.56278176425
176.9734,489759.56278176425
176.9555,489759.56278176425
176.8202,489759.56278176425
176.9251,489759.56278176425
176.8746,489759.56278176425
177.0054,489759.56278176425
177.0023,489759.56278176425
177.0163,489759.56278176425
177.1247,489759.5627817642
177.248,489759.5627817642
177.2921,489759.5627817642
177.5623,489759.5627817642
177.7207,489759.562781764
177.9972,489759.562781764
178.29,489759.56278176396
178.6543,489759.5627817641
179.0592,489759.5627817639
179.3064,489759.5627817639
179.7101,489759.56278176396
180.1774,489759.562781764
180.5681,489759.562781764
180.8962,489759.56278176414
181.384,489759.5627817641
181.8506,489759.562781764
182.297,489759.562781764
182.8438,489759.56278176385
183.2631,489759.5627817642
183.6243,489759.5627817638
184.0933,489759.56278176385
184.5898,489759.5627817639
185.0357,489759.56278176396
185.4777,489759.562781764
185.9069,489759.5627817641
186.4914,489759.5627817638
187.0203,489759.56278176396
187.6229,489759.5627817638
188.1595,489759.562781764
188.6697,489759.56278176396
189.3571,489759.56278176367
189.9038,489759.5627817641
190.5653,489759.5627817638
191.2235,489759.5627817637
191.9041,489759.562781764
192.46,489759.5627817641
193.0445,489759.5627817638
193.7611,489759.56278176414
194.4817,489759.562781764
195.1538,489759.5627817641
195.7753,489759.56278176396
196.417,489759.5627817641
197.0638,489759.562781764
197.6513,489759.56278176396
198.3369,489759.5627817638
199.1706,489759.5627817641
199.7659,489759.5627817639
