Mass,(E) 2-Butenal (Crotonaldehyde
2.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
22.0,0.0
24.0,0.0
25.0,6.678381267
26.0,23.66682522
27.0,63.43502845
28.0,0.0
29.0,48.98377684
30.0,2.475254689
31.0,2.43976367
33.0,1.186255089
36.0,4.561902603
37.0,20.27625635
38.0,32.27883123
39.0,106.7280359
40.0,29.37968112
41.0,107.6497409
42.0,31.97085678
43.0,4.221627226
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,1.013286071
49.0,4.026904784
50.0,5.003938727
51.0,3.981882875
52.0,1.981550233
53.0,2.960102815
54.0,0.983248184
55.0,4.902084273
66.0,0.990286219
67.0,0.994911979
68.0,5.000795817
69.0,65.39180514
70.0,83.0264599
71.0,8.157034082
72.0,1.027362141
