Temp,m2.0,m18.0,m26.0,m27.0,m28.0,m29.0,m31.0,m39.0,m41.0,m44.0,m45.0,m56.0,m57.0,m70.0
176.8481,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8945,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8788,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.7941,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.7974,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8505,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.9009,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.9665,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.9055,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8099,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8533,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.9335,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.881,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8105,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8207,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.7429,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.7739,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8874,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8942,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8326,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8189,5.820766091346741e-11,0.0,347968.85513007897,32227.480562827695,396359.3852790239,-157814.04832498071,0.0,2.9103830456733704e-11,117364.19111647888,442279.39078378206,346133.7956953192,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
