Experiment,,,,,,,,,,,,,,
Temp,m2.0,m18.0,m26.0,m27.0,m28.0,m29.0,m31.0,m39.0,m41.0,m44.0,m45.0,m56.0,m57.0,m70.0
176.8481,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8945,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8788,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.7941,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.7974,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8505,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.9009,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.9665,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.9055,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8099,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8533,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.9335,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.881,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8105,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
176.8207,5.820766091346741e-11,0.0,233653.03653667076,0.0,1.1641532182693481e-10,-2296420.9811661956,0.0,2.9103830456733704e-11,0.0,-2.3283064365386963e-10,366440.4763517573,489759.56278176425,-1.1641532182693481e-10,333268.95536687755
