Data Point,Temp,27.0, 28.0, 44.0
0,176.8481,0.0, 0.0, 1.0
0,176.8481,1.0, 0.0, 1.0
0,176.8481,1.0, 1.0, 1.0
1,176.8945,0.0, 0.0, 1.0
1,176.8945,1.0, 0.0, 1.0
1,176.8945,1.0, 1.0, 1.0
2,176.8788,0.0, 0.0, 1.0
2,176.8788,1.0, 0.0, 1.0
2,176.8788,1.0, 1.0, 1.0
3,176.7941,0.0, 0.0, 1.0
3,176.7941,1.0, 0.0, 1.0
3,176.7941,1.0, 1.0, 1.0
4,176.7974,0.0, 0.0, 1.0
4,176.7974,1.0, 0.0, 1.0
4,176.7974,1.0, 1.0, 1.0
5,176.8505,0.0, 0.0, 1.0
5,176.8505,1.0, 0.0, 1.0
5,176.8505,1.0, 1.0, 1.0
6,176.9009,0.0, 0.0, 1.0
6,176.9009,1.0, 0.0, 1.0
6,176.9009,1.0, 1.0, 1.0
7,176.9665,0.0, 0.0, 1.0
7,176.9665,1.0, 0.0, 1.0
7,176.9665,1.0, 1.0, 1.0
8,176.9055,0.0, 0.0, 1.0
8,176.9055,1.0, 0.0, 1.0
8,176.9055,1.0, 1.0, 1.0
9,176.8099,0.0, 0.0, 1.0
9,176.8099,1.0, 0.0, 1.0
9,176.8099,1.0, 1.0, 1.0
10,176.8533,0.0, 0.0, 1.0
10,176.8533,1.0, 0.0, 1.0
10,176.8533,1.0, 1.0, 1.0
11,176.9335,0.0, 0.0, 1.0
11,176.9335,1.0, 0.0, 1.0
11,176.9335,1.0, 1.0, 1.0
12,176.881,0.0, 0.0, 1.0
12,176.881,1.0, 0.0, 1.0
12,176.881,1.0, 1.0, 1.0
13,176.8105,0.0, 0.0, 1.0
13,176.8105,1.0, 0.0, 1.0
13,176.8105,1.0, 1.0, 1.0
14,176.8207,0.0, 0.0, 1.0
14,176.8207,1.0, 0.0, 1.0
14,176.8207,1.0, 1.0, 1.0
15,176.7429,0.0, 0.0, 1.0
15,176.7429,1.0, 0.0, 1.0
15,176.7429,1.0, 1.0, 1.0
16,176.7739,0.0, 0.0, 1.0
16,176.7739,1.0, 0.0, 1.0
16,176.7739,1.0, 1.0, 1.0
17,176.8874,0.0, 0.0, 1.0
17,176.8874,1.0, 0.0, 1.0
17,176.8874,1.0, 1.0, 1.0
18,176.8942,0.0, 0.0, 1.0
18,176.8942,1.0, 0.0, 1.0
18,176.8942,1.0, 1.0, 1.0
19,176.8326,0.0, 0.0, 1.0
19,176.8326,1.0, 0.0, 1.0
19,176.8326,1.0, 1.0, 1.0
20,176.8189,0.0, 0.0, 1.0
20,176.8189,1.0, 0.0, 1.0
20,176.8189,1.0, 1.0, 1.0
21,176.8509,0.0, 0.0, 1.0
21,176.8509,1.0, 0.0, 1.0
21,176.8509,1.0, 1.0, 1.0
22,176.8443,0.0, 0.0, 1.0
22,176.8443,1.0, 0.0, 1.0
22,176.8443,1.0, 1.0, 1.0
23,176.9281,0.0, 0.0, 1.0
23,176.9281,1.0, 0.0, 1.0
23,176.9281,1.0, 1.0, 1.0
24,176.9268,0.0, 0.0, 1.0
24,176.9268,1.0, 0.0, 1.0
24,176.9268,1.0, 1.0, 1.0
25,176.8664,0.0, 0.0, 1.0
25,176.8664,1.0, 0.0, 1.0
25,176.8664,1.0, 1.0, 1.0
26,176.914,0.0, 0.0, 1.0
26,176.914,1.0, 0.0, 1.0
26,176.914,1.0, 1.0, 1.0
27,176.883,0.0, 0.0, 1.0
27,176.883,1.0, 0.0, 1.0
27,176.883,1.0, 1.0, 1.0
28,176.9234,0.0, 0.0, 1.0
28,176.9234,1.0, 0.0, 1.0
28,176.9234,1.0, 1.0, 1.0
29,176.8343,0.0, 0.0, 1.0
29,176.8343,1.0, 0.0, 1.0
29,176.8343,1.0, 1.0, 1.0
30,176.8869,0.0, 0.0, 1.0
30,176.8869,1.0, 0.0, 1.0
30,176.8869,1.0, 1.0, 1.0
31,176.8666,0.0, 0.0, 1.0
31,176.8666,1.0, 0.0, 1.0
31,176.8666,1.0, 1.0, 1.0
32,176.8004,0.0, 0.0, 1.0
32,176.8004,1.0, 0.0, 1.0
32,176.8004,1.0, 1.0, 1.0
33,176.889,0.0, 0.0, 1.0
33,176.889,1.0, 0.0, 1.0
33,176.889,1.0, 1.0, 1.0
34,177.0114,0.0, 0.0, 1.0
34,177.0114,1.0, 0.0, 1.0
34,177.0114,1.0, 1.0, 1.0
35,176.8458,0.0, 0.0, 1.0
35,176.8458,1.0, 0.0, 1.0
35,176.8458,1.0, 1.0, 1.0
36,176.9231,0.0, 0.0, 1.0
36,176.9231,1.0, 0.0, 1.0
36,176.9231,1.0, 1.0, 1.0
37,176.9848,0.0, 0.0, 1.0
37,176.9848,1.0, 0.0, 1.0
37,176.9848,1.0, 1.0, 1.0
38,177.0193,0.0, 0.0, 1.0
38,177.0193,1.0, 0.0, 1.0
38,177.0193,1.0, 1.0, 1.0
39,177.032,0.0, 0.0, 1.0
39,177.032,1.0, 0.0, 1.0
39,177.032,1.0, 1.0, 1.0
40,176.9611,0.0, 0.0, 1.0
40,176.9611,1.0, 0.0, 1.0
40,176.9611,1.0, 1.0, 1.0
41,176.8494,0.0, 0.0, 1.0
41,176.8494,1.0, 0.0, 1.0
41,176.8494,1.0, 1.0, 1.0
42,176.9185,0.0, 0.0, 1.0
42,176.9185,1.0, 0.0, 1.0
42,176.9185,1.0, 1.0, 1.0
43,176.8734,0.0, 0.0, 1.0
43,176.8734,1.0, 0.0, 1.0
43,176.8734,1.0, 1.0, 1.0
44,176.9646,0.0, 0.0, 1.0
44,176.9646,1.0, 0.0, 1.0
44,176.9646,1.0, 1.0, 1.0
45,176.9394,0.0, 0.0, 1.0
45,176.9394,1.0, 0.0, 1.0
45,176.9394,1.0, 1.0, 1.0
46,176.8496,0.0, 0.0, 1.0
46,176.8496,1.0, 0.0, 1.0
46,176.8496,1.0, 1.0, 1.0
47,176.9133,0.0, 0.0, 1.0
47,176.9133,1.0, 0.0, 1.0
47,176.9133,1.0, 1.0, 1.0
48,176.7969,0.0, 0.0, 1.0
48,176.7969,1.0, 0.0, 1.0
48,176.7969,1.0, 1.0, 1.0
49,176.792,0.0, 0.0, 1.0
49,176.792,1.0, 0.0, 1.0
49,176.792,1.0, 1.0, 1.0
50,176.7845,0.0, 0.0, 1.0
50,176.7845,1.0, 0.0, 1.0
50,176.7845,1.0, 1.0, 1.0
51,176.8007,0.0, 0.0, 1.0
51,176.8007,1.0, 0.0, 1.0
51,176.8007,1.0, 1.0, 1.0
52,176.9141,0.0, 0.0, 1.0
52,176.9141,1.0, 0.0, 1.0
52,176.9141,1.0, 1.0, 1.0
53,176.8142,0.0, 0.0, 1.0
53,176.8142,1.0, 0.0, 1.0
53,176.8142,1.0, 1.0, 1.0
54,176.7997,0.0, 0.0, 1.0
54,176.7997,1.0, 0.0, 1.0
54,176.7997,1.0, 1.0, 1.0
55,176.7839,0.0, 0.0, 1.0
55,176.7839,1.0, 0.0, 1.0
55,176.7839,1.0, 1.0, 1.0
