Source:,Measured,NIST,NIST,NIST,NIST,NIST,NIST,NIST,NIST
Molecules,Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,CO,CO2,Ethylene (Ethene),Ethanol ,Crotyl Alcohol ,H2,H2O
Electron Numbers,24,38,14,22,16,26,40,2,10
Molecular Mass,44.0526,70.0898,28.01,44.01,28.0532,46.0684,72.1057,2.01588,18
1,0,0,0,0,0,0,0,106,0
2,0,0,0,0,9.93399904,0,0,9933.00564,0
12,0,0,390.8778597,724.371523,41.58275103,16.63310041,22.45468556,0,0
13,0,0,0,0,73.5470504,113.5893334,44.12823023,0,0
14,0,0,0,0,168.6372637,116.4400154,181.4858171,0,0
15,0,0,0,0,23.67571323,524.022453,476.6710263,0,0
16,0,0,131.8616909,745.406382,0,0,41.88547828,0,69.80913045
17,0,0,0,0,0,53.3703997,46.50849117,0,1617.885546
18,0,0,0,0,0,41.22372485,49.46846982,0,7494.473175
19,0,0,0,0,0,205.6009508,51.58446795,0,36.84604852
20,0,0,0,0,0,0,0,0,21.73891149
21,0,0,0,0,0,0,0,0,0
22,0,0,0,65.5,0,0,0,0,0
24,0,0,0,0,156.0722854,41.39308438,20.35725462,0,0
25,0,1.65,0,0,521.581577,164.2881792,134.9033016,0,0
26,535,6,0,0,3480.995543,647.5506345,714.6066395,0,0
27,387,15.6,0,0,4036.539158,1450.590804,2647.441494,0,0
28,3051.5,0,6374.275685,625.378983,6374.275685,219.9345047,901.4127235,0,0
29,2499.75,6.25,37.67982835,3.139985695,72.219671,937.28573,2280.571611,0,0
30,0,0.635,0,0,6.188136725,502.476702,230.1986861,0,0
31,0,0.626,0,0,0,6098.799235,1768.21872,0,0
32,0,0,0,0,0,0,38,0,0
33,0,0.3,0,0,0,18.38695388,0,0,0
34,0,0,0,0,0,0,15.21486008,0,0
36,0,1.35,0,0,0,0,61.58568515,0,0
37,0,5,0,0,0,0,383.5591827,0,0
38,0,8.05,0,0,0,0,672.29014,0,0
39,0,26.65,0,0,0,0,2879.456391,0,0
40,0,7.3,0,0,0,0,394.4494224,0,0
41,273,26.9,0,0,0,73.7474473,1678.965607,0,0
42,0,7.95,0,0,0,252.5697686,433.2051094,0,0
43,0,1.05,0,0,0,603.6926935,2169.916394,0,0
44,4999,0,0,5228.176185,0,37.12376329,563.653758,0,0
45,0,0,0,62.2016544,0,2668.96932,159.6509129,0,0
46,0,0,0,20.56540185,0,1112.074105,0,0,0
47,0,0,0,0,0,37.24705899,0,0,0
48,0,0.2505,0,0,0,0,23.30557963,0,0
49,0,1.005,0,0,0,0,114.7667864,0,0
50,0,1.25,0,0,0,0,335.2638947,0,0
51,0,0.995,0,0,0,0,297.645745,0,0
52,0,0.495,0,0,0,0,105.5175499,0,0
53,0,0.755,0,0,0,0,666.0231335,0,0
54,0,0.245,0,0,0,0,448.8527962,0,0
55,0,1.295,0,0,0,0,426.4813317,0,0
56,0,0,0,0,0,0,22.49875982,0,0
57,0,0,0,0,0,0,4882.604027,0,0
58,0,0,0,0,0,0,158.0555284,0,0
59,0,0,0,0,0,0,16.5801982,0,0
66,0,0.245,0,0,0,0,0,0,0
67,0,0.25,0,0,0,0,0,0,0
68,0,1.25,0,0,0,0,16.00254662,0,0
69,0,8,0,0,0,0,91.0455133,0,0
70,0,10,0,0,0,0,69.86372845,0,0
71,0,1,0,0,0,0,354.8309826,0,0
72,0,0.25,0,0,0,0,1314.509859,0,0
73,0,0,0,0,0,0,56.9644045,0,0
