Temp,m2,m18,m26,m27,m28,m29,m31,m39,m41,m44,m45,m56,m57,m70
3.003965000000000032e+02,1.361715000000000009e+00,2.826659999999999728e-01,1.899339999999999917e-01,1.982440000000000035e-01,4.631293999999999578e+00,6.977170000000000316e-01,4.818700000000000067e-02,6.273099999999999510e-02,1.092729999999999951e-01,1.778858000000000050e+00,2.589899999999999841e-02,2.798000000000000140e-03,2.719500000000000042e-02,2.126600000000000018e-02
3.014012999999999920e+02,1.314715999999999996e+00,2.495970000000000133e-01,2.178460000000000119e-01,2.115160000000000096e-01,4.693194000000000088e+00,6.729699999999999571e-01,7.965099999999999958e-02,6.247500000000000275e-02,7.370300000000000462e-02,1.752642999999999951e+00,5.963199999999999751e-02,1.967999999999999958e-02,-1.186199999999999928e-02,9.690999999999999961e-03
3.022624999999999886e+02,1.331012000000000084e+00,2.713729999999999754e-01,1.952949999999999964e-01,2.012980000000000047e-01,4.672803000000000040e+00,6.843609999999999971e-01,4.558399999999999952e-02,6.021100000000000063e-02,1.200839999999999963e-01,1.742053000000000074e+00,1.791999999999999843e-02,6.527999999999999949e-03,2.576600000000000071e-02,1.920399999999999885e-02
3.031761999999999944e+02,1.320414999999999894e+00,2.534980000000000011e-01,2.197770000000000001e-01,2.129749999999999976e-01,4.689217000000000191e+00,6.605750000000000233e-01,8.407100000000000684e-02,5.824000000000000010e-02,8.311300000000000632e-02,1.752277000000000085e+00,6.094499999999999917e-02,2.309599999999999848e-02,-1.317100000000000042e-02,9.197000000000000314e-03
3.041567000000000007e+02,1.366459000000000090e+00,2.580640000000000156e-01,1.959670000000000023e-01,2.067150000000000098e-01,4.638986000000000054e+00,6.696450000000000458e-01,5.074599999999999944e-02,6.292499999999999483e-02,1.143509999999999943e-01,1.713252999999999915e+00,2.245899999999999980e-02,1.300300000000000067e-02,1.855700000000000058e-02,2.265500000000000153e-02
3.048878000000000270e+02,1.337911000000000072e+00,2.500299999999999745e-01,2.176029999999999909e-01,1.928380000000000094e-01,4.671384999999999899e+00,6.723299999999999832e-01,7.637199999999999545e-02,5.647100000000000036e-02,8.350599999999999690e-02,1.741703000000000001e+00,5.352599999999999719e-02,1.344899999999999915e-02,-5.036999999999999811e-03,2.051199999999999898e-02
3.058299999999999841e+02,1.345420999999999978e+00,2.587869999999999893e-01,1.987130000000000007e-01,2.014499999999999902e-01,4.671901000000000082e+00,6.603480000000000461e-01,5.647300000000000236e-02,6.880600000000000604e-02,1.119629999999999931e-01,1.735347999999999891e+00,2.480800000000000019e-02,1.659800000000000164e-02,2.139599999999999835e-02,8.021000000000000352e-03
3.068915999999999826e+02,1.328108999999999984e+00,2.780190000000000161e-01,2.231930000000000025e-01,1.843829999999999913e-01,4.661647999999999570e+00,6.699810000000000487e-01,8.007499999999999341e-02,5.427099999999999980e-02,8.060799999999999910e-02,1.760038999999999909e+00,4.734200000000000214e-02,5.649000000000000375e-03,2.422000000000000108e-03,2.557699999999999904e-02
3.077955000000000041e+02,1.287435000000000107e+00,2.605999999999999983e-01,2.046099999999999863e-01,2.155739999999999879e-01,4.670510000000000161e+00,6.660859999999999559e-01,5.980900000000000105e-02,7.275700000000000223e-02,1.127569999999999961e-01,1.729281999999999986e+00,2.591699999999999907e-02,2.597899999999999862e-02,1.826600000000000099e-02,2.641000000000000118e-03
3.085778000000000247e+02,1.298917000000000099e+00,2.750549999999999939e-01,2.194180000000000019e-01,1.819590000000000096e-01,4.685369999999999813e+00,6.771740000000000537e-01,7.356799999999999451e-02,4.919199999999999962e-02,7.627799999999999858e-02,1.792845999999999940e+00,4.821299999999999891e-02,3.373999999999999829e-03,-3.379000000000000059e-03,2.200600000000000125e-02
