Source:	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Molecules	Acetaldehyde	(E) 2-Butenal (Crotonaldehyde	CO	CO2	Ethylene (Ethene)	Ethanol	Crotyl Alcohol	H2	H2O
Electron Numbers	24	38	14	22	16	26	40	2	10
Molecular Mass	44.0526	70.0898	28.01	44.01	28.0532	46.0684	72.1057	2.01588	18
2	0	0	0	0	19.86799808	0	0	19866.01128	0
12	0	0	781.7557194	1448.743046	83.16550206	33.26620082	44.90937111	0	0
18	0	0	0	0	0	82.44744969	98.93693963	0	14988.94635
25	0	6.678381267	0	0	1043.163154	328.5763583	269.8066032	0	0
26	1070	23.66682522	0	0	6961.991086	1295.101269	1429.213279	0	0
27	774	63.43502845	0	0	8073.078315	2901.181607	5294.882987	0	0
28	6103	0	12748.55137	1250.757966	12748.55137	439.8690093	1802.825447	0	0
29	9999	48.98377684	150.7193134	12.55994278	288.8786839	3749.14292	9122.286441	0	0
30	0	2.475254689	0	0	12.37627345	1004.953404	460.3973722	0	0
31	0	2.43976367	0	0	0	12197.59847	3536.43744	0	0
32	0	0	0	0	0	0	151.5474765	0	0
41	546	107.6497409	0	0	0	147.4948946	3357.931213	0	0
42	0	31.97085678	0	0	0	505.1395372	866.4102188	0	0
43	0	4.221627226	0	0	0	1207.385387	4339.832788	0	0
57	0	0	0	0	0	0	9765.208054	0	0
72	0	1.027362141	0	0	0	0	2629.019718	0	0
73	0	0	0	0	0	0	113.928809	0	0
