Source:	Measured	NIST	NIST	NIST	NIST	NIST	NIST	NIST	NIST
Molecules	Acetaldehyde	(E) 2-Butenal (Crotonaldehyde	CO	CO2	Ethylene (Ethene)	Ethanol 	Crotyl Alcohol 	H2	H2O
Electron Numbers	24	38	14	22	16	26	40	2	10
Molecular Mass	44.0526	70.0898	28.01	44.01	28.0532	46.0684	72.1057	2.01588	18
1	0	0	0	0	0	0	0	0.021380185	0
2	0	0	0	0	0.001558451	0	0	1	0
12	0	0	0.061321141	0.138551475	0.006523526	0.002727275	0.004598916	0	0
13	0	0	0	0	0.011538103	0.018624868	0.009037847	0	0
14	0	0	0	0	0.02645591	0.019092285	0.037169882	0	0
15	0	0	0	0	0.003714259	0.085922234	0.097626394	0	0
16	0	0	0.020686537	0.14257484	0	0	0.008578512	0	0.009314748
17	0	0	0	0	0	0.008750968	0.009525346	0	0.215877155
18	0	0	0	0	0	0.006759318	0.010131575	0	1
19	0	0	0	0	0	0.03371171	0.01056495	0	0.004916429
20	0	0	0	0	0	0	0	0	0.002900659
21	0	0	0	0	0	0	0	0	0
22	0	0	0	0.025474745	0	0	0	0	0
24	0	0	0	0	0.024484709	0.006787088	0.004169344	0	0
25	0	0.062038062	0	0	0.081826015	0.026937791	0.027629376	0	0
26	0.107010701	0.219850276	0	0	0.546100563	0.106176742	0.146357689	0	0
27	0.077407741	0.589272468	0	0	0.633254562	0.237848591	0.542219168	0	0
28	0.610361036	0	1	0.119617044	1	0.036061936	0.184617208	0	0
29	1	0.455029213	0.011822466	0.001201178	0.022659726	0.307367301	0.934162016	0	0
30	0	0.022993596	0	0	0.000970798	0.082389448	0.047146704	0	0
31	0	0.022663907	0	0	0	1	0.362146656	0	0
32	0	0	0	0	0	0	0.015519124	0	0
33	0	0.011019581	0	0	0	0.003014848	0	0	0
34	0	0	0	0	0	0	0.003116136	0	0
36	0	0.042377274	0	0	0	0	0.012613287	0	0
37	0	0.188353973	0	0	0	0	0.078556275	0	0
38	0	0.299850524	0	0	0	0	0.137690899	0	0
39	0	0.991437926	0	0	0	0	0.589737848	0	0
40	0	0.2729192	0	0	0	0	0.080786691	0	0
41	0.054605461	1	0	0	0	0.012092126	0.343866838	0	0
42	0	0.296989631	0	0	0	0.041413032	0.088724195	0	0
43	0	0.039216325	0	0	0	0.0989855	0.444417852	0	0
44	0.99989999	0	0	1	0	0.006087061	0.115441218	0	0
45	0	0	0	0.011897391	0	0.437622099	0.032697903	0	0
46	0	0	0	0.003933571	0	0.182343124	0	0	0
47	0	0	0	0	0	0.006107277	0	0	0
48	0	0.009412805	0	0	0	0	0.004773186	0	0
49	0	0.037407473	0	0	0	0	0.023505241	0	0
50	0	0.046483519	0	0	0	0	0.068664977	0	0
51	0	0.036989247	0	0	0	0	0.060960451	0	0
52	0	0.018407385	0	0	0	0	0.021610917	0	0
53	0	0.027497538	0	0	0	0	0.136407362	0	0
54	0	0.009133772	0	0	0	0	0.091928978	0	0
55	0	0.045537353	0	0	0	0	0.087347106	0	0
56	0	0	0	0	0	0	0.004607943	0	0
57	0	0	0	0	0	0	1	0	0
58	0	0	0	0	0	0	0.032371154	0	0
59	0	0	0	0	0	0	0.00339577	0	0
66	0	0.009199151	0	0	0	0	0	0	0
67	0	0.009242121	0	0	0	0	0	0	0
68	0	0.046454323	0	0	0	0	0.003277461	0	0
69	0	0.607449722	0	0	0	0	0.018646917	0	0
70	0	0.771264837	0	0	0	0	0.014308703	0	0
71	0	0.075773839	0	0	0	0	0.072672488	0	0
72	0	0.009543564	0	0	0	0	0.269223114	0	0
73	0	0	0	0	0	0	0.011666808	0	0
