Source:	Measured	NIST	NIST	NIST	NIST	Fake
Molecules	Acetaldehyde	(E) 2-Butenal (Crotonaldehyde	Ethylene (Ethene)	Ethanol 	Crotyl Alcohol 	1butanal
Electron Numbers	24	38	16	26	40	40
Molecular Mass	44.0526	70.0898	28.0532	46.0684	72.1057	72.11
1	0	0	0	0	0	0
2	0	0	0.001558451	0	0	0
12	0	0	0.006523526	0.002727275	0.004598916	0.0010001
13	0	0	0.011538103	0.018624868	0.009037847	0.0030003
14	0	0	0.02645591	0.019092285	0.037169882	0.0160016
15	0	0	0.003714259	0.085922234	0.097626394	0.054005401
16	0	0	0	0	0.008578512	0.0020002
17	0	0	0	0.008750968	0.009525346	0.0030003
18	0	0	0	0.006759318	0.010131575	0.0150015
19	0	0	0	0.03371171	0.01056495	0.0020002
20	0	0	0	0	0	0.0010001
21	0	0	0	0	0	0
22	0	0	0	0	0	0
24	0	0	0.024484709	0.006787088	0.004169344	0
25	0	0.062038062	0.081826015	0.026937791	0.027629376	0
26	0.107010701	0.219850276	0.546100563	0.106176742	0.146357689	0.063106311
27	0.077407741	0.589272468	0.633254562	0.237848591	0.542219168	0.589558956
28	0.610361036	0	1	0.036061936	0.184617208	0.149114911
29	1	0.455029213	0.022659726	0.307367301	0.934162016	0.538553855
30	0	0.022993596	0.000970798	0.082389448	0.047146704	0.0120012
31	0	0.022663907	0	1	0.362146656	0.0280028
32	0	0	0	0	0.015519124	0
33	0	0.011019581	0	0.003014848	0	0
34	0	0	0	0	0.003116136	0
36	0	0.042377274	0	0	0.012613287	0.0030003
37	0	0.188353973	0	0	0.078556275	0.0270027
38	0	0.299850524	0	0	0.137690899	0.0460046
39	0	0.991437926	0	0	0.589737848	0.231223122
40	0	0.2729192	0	0	0.080786691	0.030003
41	0.054605461	1	0	0.012092126	0.343866838	0.605560556
42	0	0.296989631	0	0.041413032	0.088724195	0.119111911
43	0	0.039216325	0	0.0989855	0.222208926	0.786778678
44	0.99989999	0	0	0.006087061	0.057720609	1
45	0	0	0	0.437622099	0.016348952	0.0350035
46	0	0	0	0.182343124	0	0.0040004
47	0	0	0	0.006107277	0	0
48	0	0.009412805	0	0	0.002386593	0.0010001
49	0	0.037407473	0	0	0.011752621	0.0050005
50	0	0.046483519	0	0	0.034332489	0.0120012
51	0	0.036989247	0	0	0.030480226	0.0080008
52	0	0.018407385	0	0	0.010805458	0.0020002
53	0	0.027497538	0	0	0.068203681	0.0250025
54	0	0.009133772	0	0	0.045964489	0.0230023
55	0	0.045537353	0	0	0.043673553	0.030003
56	0	0	0	0	0.002303971	0.0040004
57	0	0	0	0	1	0.258225823
58	0	0	0	0	0.016185577	0.0110011
73	0	0	0	0	0.005833404	0.0010001
