Source:	NIST-TuningCorrected	NIST-TuningCorrected	NIST-TuningCorrected	NIST-TuningCorrected
Molecules	ethene	ethane	ethyne	1butanal
Electron Numbers	16	18	14	40
ionizationEfficiencies	1.0857142857142859	1.1714285714285713	1.0	2.1142857142857143
ionizationEfficienciesSources	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo
Molecular Mass	28.05	30.07	26.0373	72.11
2.000000000000000000e+00	1.843729346610386566e-01	3.687458693220773132e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.200000000000000000e+01	8.645664706015629974e-01	6.916531764812503535e-01	1.073191242614858210e+00	2.753316547023478278e-01
1.300000000000000000e+01	1.532919867333539576e+00	1.703244297037266541e+00	4.832564034331378267e+00	8.136281360864746626e-01
1.400000000000000000e+01	3.516937615100356851e+00	5.024196593000509914e+00	1.484896096463420856e-01	4.266709874567055749e+00
1.500000000000000000e+01	4.930789929275512518e-01	7.231825229604085692e+00	0.000000000000000000e+00	1.413242748524858783e+01
1.600000000000000000e+01	0.000000000000000000e+00	1.609837633312268534e-01	0.000000000000000000e+00	5.126722750115139116e-01
1.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.516287581583700472e-01
1.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.664979486074433357e+00
1.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.754065531245468268e-01
2.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.306568518580569549e-01
2.400000000000000000e+01	2.864238685735772894e+00	6.226605838556028560e-01	5.520800708775482235e+00	0.000000000000000000e+00
2.500000000000000000e+01	9.277897787116875961e+00	4.157828713816781985e+00	2.013896436030218950e+01	0.000000000000000000e+00
2.600000000000000000e+01	5.972534958609458045e+01	2.619117313293892835e+01	1.000000000000000000e+02	1.133312961081675674e+01
2.700000000000000000e+01	6.643463247219992240e+01	3.540126422468254930e+01	2.078077818349275852e+00	1.000000000000000000e+02
2.800000000000000000e+01	1.000000000000000142e+02	1.000000000000000142e+02	8.867355646427604876e-02	2.374372400371110103e+01
2.900000000000000000e+01	2.144142989892656281e+00	2.006172049673476465e+01	0.000000000000000000e+00	7.993544120960987698e+01
3.000000000000000000e+01	8.617486999184789664e-02	2.259505091186251846e+01	0.000000000000000000e+00	1.646605809182460911e+00
3.100000000000000000e+01	0.000000000000000000e+00	3.943189310351820076e-01	0.000000000000000000e+00	3.516117787023833596e+00
3.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.833060742685007627e-01
3.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.267760593961471338e+00
3.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.489867865602916730e+00
3.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.024043426380877087e+00
4.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.011690558765445114e-02
4.100000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
4.200000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
4.300000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
4.400000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
4.500000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
4.600000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
4.800000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
4.900000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
5.000000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
5.100000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
5.200000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
5.300000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
5.400000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
5.500000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
5.600000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
5.700000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
5.800000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
5.900000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
6.000000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
6.800000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
6.900000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
7.000000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
7.100000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
7.200000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
7.300000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
7.400000000000000000e+01	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
