Source:	NIST_TuningCorrected	 NIST_TuningCorrected	 NIST_TuningCorrected	 NIST_TuningCorrected
Molecules	ethene	 ethane	 ethyne	 1butanal
Electron Numbers	16	18	14	40
ionizationEfficiencies	1.085714286	1.171428571	1	2.114285714
ionizationEfficienciesSources	MadixAndKo	 MadixAndKo	 MadixAndKo	 MadixAndKo
Molecular Mass	28.05	30.07	26.0373	72.11
2.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
1.20E+01	5.72E-01	4.58E-01	6.66E-01	1.75E-01
1.30E+01	1.11E+00	1.24E+00	3.28E+00	5.67E-01
1.40E+01	2.76E+00	3.94E+00	1.09E-01	3.21E+00
1.50E+01	4.13E-01	6.06E+00	0.00E+00	1.14E+01
1.60E+01	0.00E+00	1.43E-01	0.00E+00	4.37E-01
1.70E+01	0.00E+00	0.00E+00	0.00E+00	6.72E-01
1.80E+01	0.00E+00	0.00E+00	0.00E+00	3.42E+00
1.90E+01	0.00E+00	0.00E+00	0.00E+00	4.59E-01
2.00E+01	0.00E+00	0.00E+00	0.00E+00	2.29E-01
2.40E+01	3.12E+00	6.77E-01	5.63E+00	0.00E+00
2.50E+01	1.00E+01	4.50E+00	2.04E+01	0.00E+00
2.60E+01	6.37E+01	2.80E+01	1.00E+02	1.16E+01
2.70E+01	6.91E+01	3.68E+01	2.03E+00	1.00E+02
2.80E+01	1.00E+02	1.00E+02	8.31E-02	2.28E+01
2.90E+01	2.02E+00	1.89E+01	0.00E+00	7.24E+01
3.00E+01	7.43E-02	1.95E+01	0.00E+00	1.36E+00
3.10E+01	0.00E+00	2.98E-01	0.00E+00	2.55E+00
3.60E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3.70E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3.80E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3.90E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.00E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.10E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.20E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.40E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.50E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.60E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.80E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
4.90E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.00E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.10E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.20E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.40E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.50E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.60E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.70E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.80E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.90E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.00E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.80E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.90E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
7.00E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
7.10E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
7.20E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
7.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
7.40E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
7.50E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
