Temp,m2,m18,m26,m27,m28,m29,m31,m39,m41,m44,m45,m56,m57,m70
3.003965000000000032e+02,1.336072768372507547e+00,2.699719771953317249e-01,2.020942060645317950e-01,2.057886072147165901e-01,4.662028286916546804e+00,6.882556059975430962e-01,6.043958679660443867e-02,6.069049556523428007e-02,9.697988053364822725e-02,1.765577291730030307e+00,3.911587455053910922e-02,9.590952012850317843e-03,1.027433569901628485e-02,1.741712732573399980e-02
3.014012999999999920e+02,1.338749766290263210e+00,2.640350704027694118e-01,2.019704192277008703e-01,2.063374510796733841e-01,4.664827476347634949e+00,6.817920925887710482e-01,6.024047849905989072e-02,6.178892264497654052e-02,9.971852959610238987e-02,1.754603835497713371e+00,3.773877574493372800e-02,1.216214405854464109e-02,1.020389187492687366e-02,1.582535207541846400e-02
3.022624999999999886e+02,1.339713804315469048e+00,2.635332946480473670e-01,2.043279278229122309e-01,2.037740357077377495e-01,4.665365240915678946e+00,6.783860106169115056e-01,6.248085005188108720e-02,6.106629893005445509e-02,9.821026931340573474e-02,1.751750586590712366e+00,3.862011060372863569e-02,1.203684222282108696e-02,9.084323124048918757e-03,1.667612338709292819e-02
3.031761999999999944e+02,1.336143013901525789e+00,2.630237509697339604e-01,2.056614113424579393e-01,2.032751842063967584e-01,4.666068535287534402e+00,6.755251474293156866e-01,6.351711811440186040e-02,6.158277267658533727e-02,9.851411565640935675e-02,1.748398384571229647e+00,3.811238238403227840e-02,1.306244039685033886e-02,9.182894156077477804e-03,1.604675186131465647e-02
3.041567000000000007e+02,1.332311165372609185e+00,2.624769548916050521e-01,2.070923849562420760e-01,2.027398620031956866e-01,4.666823247043695666e+00,6.724551284346372837e-01,6.462914704654759701e-02,6.213700547561513965e-02,9.884017600369518486e-02,1.744801105289077059e+00,3.756753449149391466e-02,1.416301937204539341e-02,9.288671650773763083e-03,1.537136740139824487e-02
3.048878000000000270e+02,1.329453985913668701e+00,2.620692418750625308e-01,2.081593760924354830e-01,2.023407043665201854e-01,4.667385990302165943e+00,6.701659995340666365e-01,6.545832027682990661e-02,6.255026360857861289e-02,9.908329963439449495e-02,1.742118830038509092e+00,3.716127412001529740e-02,1.498365505666049424e-02,9.367543579761477418e-03,1.486777374648251548e-02
3.058299999999999841e+02,1.325771815914744467e+00,2.615438045830553726e-01,2.095344534396127723e-01,2.018262927603436951e-01,4.668111221731696681e+00,6.672159007102156369e-01,6.652691146486422458e-02,6.308284713050195391e-02,9.939662350916519951e-02,1.738662066612049140e+00,3.663770891415132902e-02,1.604124354256430962e-02,9.469189225353360356e-03,1.421877095389381673e-02
3.068915999999999826e+02,1.321623024075582853e+00,2.609517814147315207e-01,2.110837870330785904e-01,2.012466925044352206e-01,4.668928357887067726e+00,6.638919515365792057e-01,6.773091953662957465e-02,6.368292213249075739e-02,9.974965325386549175e-02,1.734767245922673284e+00,3.604779507150093765e-02,1.723285459821655152e-02,9.583715883557924337e-03,1.348752348561516046e-02
3.077955000000000041e+02,1.321923744275290025e+00,2.651626346486133379e-01,2.093615172702960880e-01,1.990465228087284211e-01,4.661119204217560430e+00,6.645769496897013795e-01,6.558251787126424814e-02,6.490256951581285794e-02,1.030949837313094863e-01,1.736731265819709380e+00,3.196007264325884112e-02,1.638559079845806898e-02,1.445346668986002836e-02,1.372609106974970183e-02
3.085778000000000247e+02,1.311780599559274396e+00,2.642423485691460239e-01,2.130171578034445734e-01,1.996203191413201405e-01,4.663594393155610085e+00,6.628264919172415226e-01,7.019073501583905639e-02,6.690560919534727091e-02,9.704654333999201965e-02,1.738899659288922317e+00,3.574183118239471907e-02,1.862777422558126172e-02,1.153004972059576416e-02,1.111030406211049870e-02
