Ethylene,,,,,,,,,,,,,,,
Time,m2,m4,m14,m16,m18,m25,m26,m27,m28,m29,m30,m32,m40,m44,m15
6133.27,6.25E-11,5.08E-13,2.50E-11,3.42E-12,7.92E-11,1.21E-09,5.58E-09,1.25E-10,7.20E-11,5.07E-12,7.01E-13,1.20E-12,1.56E-08,1.60E-11,4.82E-11
6136.42,6.26E-11,4.88E-13,2.47E-11,3.37E-12,7.88E-11,1.21E-09,5.58E-09,1.24E-10,7.25E-11,5.25E-12,6.65E-13,1.12E-12,1.56E-08,1.60E-11,4.79E-11
6139.52,6.25E-11,4.85E-13,2.49E-11,3.50E-12,7.92E-11,1.21E-09,5.59E-09,1.25E-10,7.21E-11,5.26E-12,7.09E-13,1.17E-12,1.56E-08,1.61E-11,4.82E-11
6142.59,6.28E-11,4.86E-13,2.48E-11,3.39E-12,7.93E-11,1.21E-09,5.59E-09,1.24E-10,7.21E-11,5.27E-12,7.01E-13,1.10E-12,1.56E-08,1.59E-11,4.81E-11
6145.69,6.22E-11,5.03E-13,2.50E-11,3.37E-12,7.94E-11,1.21E-09,5.59E-09,1.25E-10,7.27E-11,5.10E-12,6.87E-13,1.15E-12,1.56E-08,1.60E-11,4.84E-11
6148.78,6.30E-11,4.97E-13,2.48E-11,3.43E-12,7.96E-11,1.21E-09,5.59E-09,1.24E-10,7.21E-11,5.30E-12,6.89E-13,1.18E-12,1.56E-08,1.58E-11,4.82E-11
6151.89,6.31E-11,4.77E-13,2.46E-11,3.42E-12,7.86E-11,1.22E-09,5.59E-09,1.24E-10,7.25E-11,5.22E-12,6.99E-13,1.22E-12,1.56E-08,1.60E-11,4.82E-11
6154.98,6.24E-11,4.98E-13,2.50E-11,3.35E-12,7.89E-11,1.21E-09,5.58E-09,1.24E-10,7.23E-11,5.08E-12,7.08E-13,1.15E-12,1.56E-08,1.61E-11,4.80E-11
6158.09,6.26E-11,4.84E-13,2.45E-11,3.49E-12,7.92E-11,1.21E-09,5.59E-09,1.24E-10,7.31E-11,5.31E-12,6.77E-13,1.14E-12,1.56E-08,1.61E-11,4.83E-11
6161.19,6.21E-11,4.73E-13,2.46E-11,3.38E-12,7.90E-11,1.21E-09,5.59E-09,1.24E-10,7.26E-11,5.23E-12,6.86E-13,1.20E-12,1.56E-08,1.58E-11,4.80E-11
6164.28,6.30E-11,4.92E-13,2.48E-11,3.39E-12,7.88E-11,1.21E-09,5.59E-09,1.24E-10,7.24E-11,5.06E-12,6.97E-13,1.16E-12,1.56E-08,1.57E-11,4.82E-11
6167.37,6.27E-11,4.94E-13,2.48E-11,3.41E-12,7.87E-11,1.21E-09,5.59E-09,1.25E-10,7.28E-11,5.23E-12,6.90E-13,1.15E-12,1.56E-08,1.62E-11,4.82E-11
6170.48,6.25E-11,5.03E-13,2.49E-11,3.40E-12,7.86E-11,1.21E-09,5.59E-09,1.24E-10,7.18E-11,5.12E-12,7.07E-13,1.23E-12,1.56E-08,1.58E-11,4.81E-11
6173.58,6.30E-11,4.80E-13,2.47E-11,3.42E-12,7.91E-11,1.21E-09,5.59E-09,1.24E-10,7.20E-11,5.08E-12,6.92E-13,1.11E-12,1.56E-08,1.59E-11,4.81E-11
6176.69,6.21E-11,4.99E-13,2.49E-11,3.41E-12,7.85E-11,1.21E-09,5.59E-09,1.25E-10,7.25E-11,5.25E-12,7.08E-13,1.19E-12,1.56E-08,1.59E-11,4.80E-11
6179.78,6.23E-11,4.97E-13,2.43E-11,3.51E-12,7.84E-11,1.21E-09,5.59E-09,1.25E-10,7.25E-11,5.23E-12,7.08E-13,1.19E-12,1.56E-08,1.59E-11,4.82E-11
6182.87,6.28E-11,4.89E-13,2.49E-11,3.39E-12,7.98E-11,1.21E-09,5.59E-09,1.25E-10,7.18E-11,5.25E-12,7.00E-13,1.22E-12,1.56E-08,1.60E-11,4.84E-11
6186.03,6.22E-11,4.87E-13,2.50E-11,3.37E-12,7.87E-11,1.21E-09,5.60E-09,1.25E-10,7.24E-11,5.30E-12,7.35E-13,1.19E-12,1.56E-08,1.58E-11,4.85E-11
6189.2,6.22E-11,5.04E-13,2.47E-11,3.30E-12,7.90E-11,1.21E-09,5.59E-09,1.25E-10,7.21E-11,5.21E-12,6.92E-13,1.22E-12,1.56E-08,1.57E-11,4.83E-11
6192.3,6.24E-11,4.81E-13,2.48E-11,3.36E-12,7.87E-11,1.22E-09,5.59E-09,1.24E-10,7.20E-11,5.12E-12,7.22E-13,1.18E-12,1.56E-08,1.59E-11,4.82E-11
6195.39,6.25E-11,4.89E-13,2.48E-11,3.38E-12,7.88E-11,1.22E-09,5.59E-09,1.24E-10,7.20E-11,5.17E-12,6.89E-13,1.19E-12,1.56E-08,1.62E-11,4.79E-11
6198.5,6.23E-11,4.97E-13,2.49E-11,3.37E-12,7.91E-11,1.22E-09,5.59E-09,1.25E-10,7.26E-11,5.21E-12,7.17E-13,1.21E-12,1.56E-08,1.60E-11,4.84E-11
6201.72,6.28E-11,4.84E-13,2.49E-11,3.32E-12,7.84E-11,1.21E-09,5.60E-09,1.25E-10,7.25E-11,5.21E-12,7.13E-13,1.14E-12,1.56E-08,1.60E-11,4.78E-11
6204.87,6.24E-11,4.83E-13,2.51E-11,3.42E-12,7.90E-11,1.22E-09,5.59E-09,1.25E-10,7.22E-11,5.25E-12,7.14E-13,1.19E-12,1.56E-08,1.61E-11,4.82E-11
