Mass,Acetylene,Ethylene,Ethane
2.0,4.59e-10,1.0,4.82e-11
4.0,5.85e-13,0.008566316,4.91e-13
14.0,2.37e-11,0.434415949,1.69e-10
15.0,6.96e-12,0.845826859,2.38e-11
16.0,7.05e-13,0.054938977,1.39e-12
18.0,2.29e-11,1.310525212,3.84e-11
25.0,5.59e-09,21.26874457,3.76e-10
26.0,1.37e-10,98.01927218,2.3e-09
27.0,1.66e-10,2.182353671,2.2e-09
28.0,6.41e-12,1.243582005,3.68e-09
29.0,1.01e-12,0.091016734,7.88e-11
30.0,4.62e-13,0.01202512,9.45e-13
32.0,1.09e-12,0.01988048,1.34e-12
40.0,1e-15,0.0,0.0
44.0,1.08e-12,0.245054602,2.55e-12
