Data Point,Time,Acetylene,Ethylene,Ethane
0,6133.27,0.0,0.0,1.0,SolvedMolecules 
1,6136.42,0.0,0.0,1.0,SolvedMolecules 
2,6139.52,0.0,0.0,1.0,SolvedMolecules 
3,6142.59,0.0,0.0,1.0,SolvedMolecules 
4,6145.69,0.0,0.0,1.0,SolvedMolecules 
5,6148.78,0.0,0.0,1.0,SolvedMolecules 
6,6151.89,0.0,0.0,1.0,SolvedMolecules 
7,6154.98,0.0,0.0,1.0,SolvedMolecules 
8,6158.09,0.0,0.0,1.0,SolvedMolecules 
9,6161.19,0.0,0.0,1.0,SolvedMolecules 
10,6164.28,0.0,0.0,1.0,SolvedMolecules 
11,6167.37,0.0,0.0,1.0,SolvedMolecules 
12,6170.48,0.0,0.0,1.0,SolvedMolecules 
13,6173.58,0.0,0.0,1.0,SolvedMolecules 
14,6176.69,0.0,0.0,1.0,SolvedMolecules 
15,6179.78,0.0,0.0,1.0,SolvedMolecules 
16,6182.87,0.0,0.0,1.0,SolvedMolecules 
17,6186.03,0.0,0.0,1.0,SolvedMolecules 
18,6189.2,0.0,0.0,1.0,SolvedMolecules 
19,6192.3,0.0,0.0,1.0,SolvedMolecules 
20,6195.39,0.0,0.0,1.0,SolvedMolecules 
21,6198.5,0.0,0.0,1.0,SolvedMolecules 
