Time,Acetylene Concentration Relative to CO,Ethylene Concentration Relative to CO,Ethane Concentration Relative to CO
6133.27,1.2504837727981609e-11,3.1423350884241572e-09,6.055835053569955e-10
6136.42,1.2348079102684795e-11,3.144787034887135e-09,5.983165032927115e-10
6139.52,1.0895586181270494e-11,3.149182053967686e-09,6.031611713355675e-10
6142.59,1.0843333306171654e-11,3.149999369455345e-09,6.007388373141395e-10
6145.69,1.0947839056369334e-11,3.148364738480027e-09,6.055835053569955e-10
6148.78,1.0843333306171654e-11,3.149999369455345e-09,6.007388373141395e-10
6151.89,1.7914421586658878e-11,3.1514862254650722e-09,5.958941692712836e-10
6154.98,1.2504837727981609e-11,3.1423350884241572e-09,6.055835053569955e-10
6158.09,1.0686574680875136e-11,3.1524513159183227e-09,5.934718352498556e-10
6161.19,1.0738827555974123e-11,3.151634000430663e-09,5.958941692712836e-10
6164.28,1.0843333306171654e-11,3.149999369455345e-09,6.007388373141395e-10
6167.37,1.0843333306171654e-11,3.149999369455345e-09,6.007388373141395e-10
6170.48,1.0895586181270494e-11,3.149182053967686e-09,6.031611713355675e-10
6173.58,1.0791080431072814e-11,3.1508166849430045e-09,5.983165032927115e-10
6176.69,1.0895586181270494e-11,3.149182053967686e-09,6.031611713355675e-10
6179.78,1.0582068930677603e-11,3.1540859468936404e-09,5.886271672069996e-10
6182.87,1.0895586181270494e-11,3.149182053967686e-09,6.031611713355675e-10
6186.03,9.390840384757207e-12,3.154394388535897e-09,6.055835053569955e-10
6189.2,1.0791080431072814e-11,3.1508166849430045e-09,5.983165032927115e-10
6192.3,1.801892733685641e-11,3.1498515944897545e-09,6.007388373141395e-10
6195.39,1.801892733685641e-11,3.1498515944897545e-09,6.007388373141395e-10
6198.5,1.8071180211955395e-11,3.149034279002095e-09,6.031611713355675e-10
